sym,date,amt,portfolio,surcharge,reference
LUNA,2021-11-05,1.5,TERRA,$0.00,387CEBB61658D727BCE24D5CD56A50C9382C1557BF7910B22F8EA190353FB589
RUNE,2021-11-05,10,THORCHAIN,$0.00,EBF1A1165774BE4A8199B0BB0126B4AEFD248E106CA997B1FA457F747CCDC685
MINE,2021-11-05,617.8,TERRA,$0.00,D610065C8573D069AD7181840EF132B37082FCC32772B3F366E4FECA24B91676
SUSHI,2021-11-05,0.1960395356,HARMONY,$0.00066137,0x8ce0b3c3ba19cfac8db0edd6bc6203ffd571b3264fefe3371051778c76fbd6a2
SUSHI,2021-11-05,0.3047154685,HARMONY,$0.00058637,0xce48e67ae7bae2341934f57b64b90e58d215e361733b0d3dd8891f7fde838514
SUSHI,2021-11-05,0.2764717123,HARMONY,$0.00058637,0x63827684cbdfbc03eb51a59aa92fde8c1d0b631def99b80256d112b4eb239429
ONE,2021-11-05,0.126213233,HARMONY,$0.00066137,0x8ce0b3c3ba19cfac8db0edd6bc6203ffd571b3264fefe3371051778c76fbd6a2
ONE,2021-11-05,0.1961770999,HARMONY,$0.00058637,0xce48e67ae7bae2341934f57b64b90e58d215e361733b0d3dd8891f7fde838514
ONE,2021-11-05,0.1779966767,HARMONY,$0.00058637,0x63827684cbdfbc03eb51a59aa92fde8c1d0b631def99b80256d112b4eb239429
TRANQ,2021-11-05,4.697445787,HARMONY,$0.00089171,0x6ebcb1fa7f9cbc420b0cd76235876b1329548e4034f062575120673b749cdfb0
TRANQ,2021-11-05,11.06445011,HARMONY,$0.00089171,0x6ebcb1fa7f9cbc420b0cd76235876b1329548e4034f062575120673b749cdfb0
MIS,2021-11-05,2.649903364,HARMONY,$0.0017536,0x588ca4f4447621618acfad6f706a3efa35e5d0d4ded9614e548c5864d9d81e94
MIS,2021-11-05,4.81015996,HARMONY,$0.00175342,0x17a21db5e9a4d7d3c2817e6626bf5fa87858b8089bdc87651d559036645a0cac
MIS,2021-11-05,0.4599263783,HARMONY,$0.0017536,0x75851b37b49e830f3fe34edb120bba1e8a2cc556a0f679c0ff2954d4f12b2f8f
MIS,2021-11-05,2.101642182,HARMONY,$0.0017536,0xb8808722bade2187d80624292bafeb5fbdc58d973999dc946c9dbe1226d3fe77
MIS,2021-11-05,0.8217499309,HARMONY,$0.0017536,0xd4fe17fd4521d6146994ee0de3d06f51c641488da604e1062c3d4189db32d041
PSI,2021-11-05,2.271853,TERRA,$0.0287655,1EC876E9854216D4CAD6C3BDF64453A6FA2B7AED5F45AB74A6CB2C3F2F7ED352
PSI,2021-11-05,1.042982,TERRA,$0.0287655,1EC876E9854216D4CAD6C3BDF64453A6FA2B7AED5F45AB74A6CB2C3F2F7ED352
PSI,2021-11-05,12.287764,TERRA,$0.0269025,C83BA06C049DD262549DF0F15414917863DE42954799E2A16F474977FED40381
PSI,2021-11-05,27.523038,TERRA,$0.0269025,C83BA06C049DD262549DF0F15414917863DE42954799E2A16F474977FED40381
ONE,2021-11-06,14.751,HARMONY,$0.000045,0x5ca43eab15951f2bb2832a80a71b8e4464b0ef69b0470d2cbd347b1ed2d21d59
ANC,2021-11-06,15.809772,TERRA,$0.250657,86A0A8B14202B76DE6BDA2768CA6B9BA72C44FE64DFE21A3EA4B18A4929ED48D
