sym,date,amt,portfolio,surcharge,reference,memo
RUNE,2021-11-24,24.6,THORCHAIN,$0.00,B00404306B05D249A652C4BEAE1447BAB0FDCEB3D29C2BE6F352006132A250D8,Flipside bounty
ETH,2021-11-24,0.00953858,BINANCE,$0.00,0x67ed4a5e456462e3d2764b7155e12b846f1ff1d343ea07541b86508a85fbd626,Twitter giveaway
MIR,2021-11-24,0.057196,TERRA,$0.04,42D8EF468AA18F9BBBD09FE680C372D8F201C81AB889BF4F93886DB960B39BF9,MIR airdrop
ONE,2021-11-24,1.683352772,HARMONY,$0.00,0x12d1de2a19b47b8e64541d6c309ebf835af5a9be9eed7f509f3f0182256d51cb,ONE incubator (MIS)
FOX,2021-11-24,0.1649086223,HARMONY,$0.00,0xbc0ae3917c3ce1498ac096d0b61afd9a437275fd7aec189f80c1ba0c44399840,FOX incubator (MIS-FOX)
RVRS,2021-11-24,2.238091207,HARMONY,$0.00,0x86d0d1ca724bd0025dcfcfb3d9faa7a5f7a4d7dd98d3bd3e0c66e4a842d71621,RVRS & UST bond
RVRS,2021-11-24,2.130964565,HARMONY,$0.00,0x3b2f90e2836d7356b6d7f85e74cc8d62dfb2f5339275077c1f2a3090733a33b8,RVRS & ETH bond
RVRS,2021-11-24,3.926689588,HARMONY,$0.00,0x575c5f405a48ddbdb39d7c06c2e03982bddb4821e6dc857f4b271b18f9bef232,UST bond
RVRS,2021-11-24,0.9408808327,HARMONY,$0.00,0x7c9444f7802dd1379ac6d5968b5b60d232243766f9156c0d946bae89415beac7,RVRS & ONE bond
JEWEL,2021-11-24,1.966602864,HARMONY,$0.01,0x9367b40878615e82264d9dff7e275fb1c36e97bf0f00eb99486521f13b11dd35,JEWEL Harvest
VKR,2021-11-24,0.68389,TERRA,$0.12,04D1F427FDD9112CB033C7F2557F71D2D07922EC6A5256FA410DD7460B734C24,MINE airdrop
PSI,2021-11-24,35.375663,TERRA,$0.00,04D1F427FDD9112CB033C7F2557F71D2D07922EC6A5256FA410DD7460B734C24,MINE airdrop
TWD,2021-11-24,27.272441,TERRA,$0.00,04D1F427FDD9112CB033C7F2557F71D2D07922EC6A5256FA410DD7460B734C24,MINE airdrop
