sym,date,amt,portfolio,surcharge,reference,memo
RVRS,2021-11-23,3.265135965,HARMONY,$0.00,0xfaee433292246bcb3758598ef04616c06e03e0c8bbe4b00cc7827c16d58b9d60,UST bond
RVRS,2021-11-23,1.79306929,HARMONY,$0.00,0x9a348d4627dc158dbf1f2d08963ed1ebfd8b10954104fa7d01df46f118acb600,RVRS & ETH bond
RVRS,2021-11-23,0.7891937112,HARMONY,$0.00,0x67f830532e618dd4cd2e6e8f91baf6be8d403bdbeb662f4f327ec9ebfa71c3cd,RVRS & ONE bond
RVRS,2021-11-23,1.899664207,HARMONY,$0.00,0x2ae43a8b7e544823d72fd15a0aa2e8e3517aa230a36647c7b90bff5b3270cbad,RVRS & UST LP
ONE,2021-11-23,8.264440255,HARMONY,$0.00,0xc7973cde61e5c0e9b1f8e6cd38aacb90f392ab7ce12bbd68e05a64cea9f59601,ONE incubator (mis)
FOX,2021-11-23,0.1492090768,HARMONY,$0.00,0xa624c2335f45eb8769bfde2474af63ede475af2381c36ef19b80db93099c1ea9,FOX incubator (MIS-FOX)
JEWEL,2021-11-23,5.747503141,HARMONY,$0.01,0x1eae62df4389233c2289f95f80075ac92a54a1af3bbd9c72626dc58304a6865d,JEWEL harvest
MINE,2021-11-23,1.727457,TERRA,$0.04,4AD162E5EEC6898276DD83BD9338FF68737A8E8909FBB68959135C65BB9F1E29,MINE airdrop
VKR,2021-11-23,0.005,TERRA,$0.12,F6F65F4A5298A813E5FB77C9F387DA0A89B7AEB79F8BA129973F274E8D395A30,MINE airdrop
PSI,2021-11-23,0.287,TERRA,$0.00,F6F65F4A5298A813E5FB77C9F387DA0A89B7AEB79F8BA129973F274E8D395A30,MINE airdrop
TWD,2021-11-23,0.172,TERRA,$0.00,F6F65F4A5298A813E5FB77C9F387DA0A89B7AEB79F8BA129973F274E8D395A30,MINE airdrop
MINE,2021-11-23,100,TERRA,$0.23,9B389A525304EA88BD5F133107E7C1CA37C6CE0157ADECA8CA5D8D70E50DD7D6,VKR MINE campaign,
VKR,2021-11-23,96,TERRA,$0.00,9B389A525304EA88BD5F133107E7C1CA37C6CE0157ADECA8CA5D8D70E50DD7D6,VRK MINE campaign
