sym,date,spent,surcharge,amt,call,portfolio
BOND,2021-06-27,$0.00,$0.00,0.03577818,BUY,COINBASE
BOND,2021-06-27,$0.00,$0.00,0.03576538,BUY,COINBASE
BOND,2021-06-27,$0.00,$0.00,0.0356888,BUY,COINBASE
