call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-12,86.27977481,MIR,COINBASE,IPHONE,1.00000081,MIR,$200.00
XFER,2021-08-12,85.279774,MIR,IPHONE,TERRA,0.00196255,ETH,$200.00
