sym,date,amt,portfolio,surcharge,reference
ANC,2021-10-01,12.479587,TERRA,$0.762,9CB77276B9EB748E1851AD03C40FA4C4C796661F91E00B3C9C4070CCE6D94342
STT,2021-10-01,10.23,TERRA,$0.55,33AF09F617D7F55BCEE823F973F552D62919303FB2150CB5794E7A6B445C7C76
ANC,2021-10-04,7.262559,TERRA,$0.762,0914625050F164A83C9CBA851EF5C5714DD2EC4268D17B45FC7B150E4FA9C634
MIR,2021-10-04,3.569271,TERRA,$0.60,B3591E1590FCB289DEE4D7A4BF1B7459C84EFF4EF401A40BADEDE595A8ADE99D
STT,2021-10-04,2.698455,TERRA,$0.55,1A2C742BADEE1D62E2F2207CF6C9DA4079908E193CA634642DC630F3CA812534
XTZ,2021-10-04,0.012391,COINBASE
