sym,date,spent,surcharge,amt,call,portfolio
BTC,2021-06-10,$100.00,$2.99,0.00261231,BUY,GEMINI
ETH,2021-06-10,$100.00,$2.99,0.038768,BUY,GEMINI
DOGE,2021-06-10,$100.00,$2.99,292.480704,BUY,GEMINI
